City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,novoishimskiy,53.1981,66.7694,240.69,93,8,0.83,KZ,1708636472
461,west modesto,37.6175,-121.0391,291.6,63,0,0.0,US,1708636472
462,asilah,35.465,-6.0348,290.13,87,86,5.74,MA,1708636472
463,gunnedah,-30.9833,150.25,297.35,64,3,1.4,AU,1708636473
464,tutoia,-2.7619,-42.2744,298.29,89,88,1.34,BR,1708636473
465,grantsville,40.5999,-112.4644,281.74,70,40,1.54,US,1708636473
466,banda aceh,5.5577,95.3222,299.36,84,20,1.96,ID,1708636212
467,baidoa,3.1138,43.6498,299.22,64,75,7.62,SO,1708636475
468,santa maria do suacui,-18.1903,-42.4142,294.71,99,100,0.54,BR,1708636334
469,la junta,37.985,-103.5438,286.52,76,75,3.09,US,1708636475
470,tauranga,-37.6861,176.1667,292.95,97,100,0.62,NZ,1708636476
471,nicolet,46.2168,-72.6158,274.4,85,100,2.06,CA,1708636184
472,paredon,16.0333,-93.8667,302.65,45,0,4.1,MX,1708636476
473,baise city,23.8997,106.6133,288.19,76,97,2.08,CN,1708636477
474,grosseto,42.8333,11.25,286.99,82,100,6.97,IT,1708636266
475,tsurusaki,33.24,131.6844,281.1,93,100,5.08,JP,1708636478
476,taoudenni,22.6783,-3.9836,293.01,17,0,5.33,ML,1708636478
477,porto novo,6.4965,2.6036,301.73,77,91,3.94,BJ,1708636478
478,menomonie,44.8755,-91.9193,286.17,38,0,7.2,US,1708636479
479,tropea,38.6754,15.8948,278.76,71,9,2.77,IT,1708636479
480,crucecita,-28.95,-58.9833,308.45,29,96,3.93,AR,1708636479
481,zaragoza,41.6561,-0.8773,283.72,69,75,7.72,ES,1708636461
482,wynyard,-41.0,145.7167,288.08,72,100,5.86,AU,1708636480
483,labytnangi,66.6572,66.4183,249.5,99,100,1.31,RU,1708636480
484,gamay,12.3854,125.2979,297.44,86,10,2.96,PH,1708636480
485,sanctuary point,-35.1114,150.629,298.7,57,73,2.26,AU,1708636481
486,boca suno,-0.7167,-77.1333,305.92,44,36,1.5,EC,1708636481
487,faya-largeau,17.9257,19.1043,296.65,47,100,7.86,TD,1708636481
488,seguela,7.9611,-6.6731,301.13,16,93,1.55,CI,1708636481
489,phan rang-thap cham,11.5667,108.9833,295.52,90,10,2.17,VN,1708636482
490,sur,22.5667,59.5289,295.5,55,3,2.67,OM,1708636482
491,mandalgovi,45.7625,106.2708,254.46,78,100,2.72,MN,1708636482
492,selkirk,50.1436,-96.8845,277.19,89,98,3.94,CA,1708636483
493,lorengau,-2.0226,147.2712,300.76,80,100,0.94,PG,1708636483
494,soverato marina,38.685,16.5499,284.35,75,9,2.54,IT,1708636483
495,dhuusamarreeb,5.535,46.3861,298.56,70,100,8.92,SO,1708636483
496,north bend,43.4065,-124.2243,289.4,67,0,2.57,US,1708636311
497,usogorsk,63.4106,48.6872,266.3,94,100,4.55,RU,1708636484
498,vernon,50.2581,-119.2691,283.31,78,100,0.45,CA,1708636224
499,marquette,46.5333,-87.6335,282.73,51,67,4.02,US,1708636485
500,tadmur,34.5608,38.2805,286.29,52,0,2.31,SY,1708636485
501,itamaraca,-7.7478,-34.8256,303.18,79,7,3.41,BR,1708636485
502,gereida,11.2811,25.1414,300.92,13,100,6.45,SD,1708636486
503,franklin,39.9667,-83.0166,283.41,95,100,1.54,US,1708636486
504,jiangzi,28.95,89.6333,263.35,48,53,3.1,CN,1708636486
505,aripuana,-9.1667,-60.6333,301.54,74,91,0.67,BR,1708636487
506,haparanda,65.8355,24.1368,273.18,98,100,7.37,SE,1708636487
507,rongelap,11.1635,166.8941,299.56,86,97,10.91,MH,1708636487
